tier_id,creator_id,tier_name,tier_rank,price_usd,description,is_active,created_at,archived_at
ti_00135,cr_0060,Insider,2,13.76,Insider tier - Access to exclusive content,True,2023-06-05 00:00:00,
ti_00136,cr_0060,Champion,3,37.3,Champion tier - Access to exclusive content,True,2023-06-10 00:00:00,
ti_00137,cr_0061,Basic,1,5.0,Basic tier - Access to exclusive content,True,2023-06-09 00:00:00,
ti_00138,cr_0061,VIP,2,12.99,VIP tier - Access to exclusive content,True,2023-06-09 00:00:00,
ti_00139,cr_0062,Basic,1,4.99,Basic tier - Access to exclusive content,True,2023-04-12 00:00:00,
ti_00140,cr_0062,Plus,2,7.32,Plus tier - Access to exclusive content,True,2023-04-10 00:00:00,
ti_00141,cr_0062,Champion,3,23.9,Champion tier - Access to exclusive content,True,2023-04-08 00:00:00,
ti_00142,cr_0063,Basic,1,4.35,Basic tier - Access to exclusive content,True,2023-05-11 00:00:00,
ti_00143,cr_0063,VIP,2,9.5,VIP tier - Access to exclusive content,True,2023-05-10 00:00:00,
ti_00144,cr_0064,Supporter,1,2.04,Supporter tier - Access to exclusive content,True,2023-03-08 00:00:00,
ti_00145,cr_0064,VIP,2,12.65,VIP tier - Access to exclusive content,True,2023-03-13 00:00:00,
ti_00146,cr_0065,Basic,1,3.86,Basic tier - Access to exclusive content,True,2022-04-13 00:00:00,
ti_00147,cr_0065,Plus,2,12.0,Plus tier - Access to exclusive content,True,2022-04-15 00:00:00,
ti_00148,cr_0065,Gold,3,37.61,Gold tier - Access to exclusive content,True,2022-04-14 00:00:00,
ti_00149,cr_0066,Basic,1,4.27,Basic tier - Access to exclusive content,True,2022-01-12 00:00:00,
ti_00150,cr_0066,Insider,2,12.66,Insider tier - Access to exclusive content,True,2022-01-11 00:00:00,
ti_00151,cr_0066,Elite,3,26.87,Elite tier - Access to exclusive content,True,2022-01-17 00:00:00,
ti_00152,cr_0067,Basic,1,4.79,Basic tier - Access to exclusive content,True,2022-04-14 00:00:00,
ti_00153,cr_0067,Insider,2,11.22,Insider tier - Access to exclusive content,True,2022-04-15 00:00:00,
ti_00154,cr_0067,Champion,3,49.87,Champion tier - Access to exclusive content,True,2022-04-12 00:00:00,
ti_00155,cr_0068,Viewer,1,4.41,Viewer tier - Access to exclusive content,True,2022-04-16 00:00:00,
ti_00156,cr_0068,Insider,2,11.75,Insider tier - Access to exclusive content,True,2022-04-13 00:00:00,
ti_00157,cr_0069,Supporter,1,3.09,Supporter tier - Access to exclusive content,True,2023-03-08 00:00:00,
ti_00158,cr_0069,Insider,2,7.88,Insider tier - Access to exclusive content,True,2023-03-11 00:00:00,
ti_00159,cr_0069,Elite,3,38.95,Elite tier - Access to exclusive content,True,2023-03-07 00:00:00,
ti_00160,cr_0070,Supporter,1,4.92,Supporter tier - Access to exclusive content,True,2022-08-10 00:00:00,
ti_00161,cr_0070,Plus,2,11.44,Plus tier - Access to exclusive content,True,2022-08-15 00:00:00,
ti_00162,cr_0071,Viewer,1,2.54,Viewer tier - Access to exclusive content,True,2023-06-10 00:00:00,
ti_00163,cr_0071,Insider,2,10.64,Insider tier - Access to exclusive content,True,2023-06-05 00:00:00,
ti_00164,cr_0072,Viewer,1,2.51,Viewer tier - Access to exclusive content,True,2022-03-13 00:00:00,
ti_00165,cr_0072,Insider,2,13.23,Insider tier - Access to exclusive content,True,2022-03-14 00:00:00,
ti_00166,cr_0072,Champion,3,40.99,Champion tier - Access to exclusive content,True,2022-03-17 00:00:00,
ti_00167,cr_0073,Viewer,1,4.73,Viewer tier - Access to exclusive content,True,2022-08-10 00:00:00,
ti_00168,cr_0073,Plus,2,10.22,Plus tier - Access to exclusive content,True,2022-08-10 00:00:00,
ti_00169,cr_0074,Viewer,1,2.83,Viewer tier - Access to exclusive content,True,2022-07-15 00:00:00,
ti_00170,cr_0074,VIP,2,11.67,VIP tier - Access to exclusive content,True,2022-07-13 00:00:00,
ti_00171,cr_0075,Viewer,1,2.16,Viewer tier - Access to exclusive content,True,2023-01-10 00:00:00,
ti_00172,cr_0075,Premium,2,10.39,Premium tier - Access to exclusive content,True,2023-01-06 00:00:00,
ti_00173,cr_0076,Viewer,1,4.64,Viewer tier - Access to exclusive content,True,2023-07-10 00:00:00,
ti_00174,cr_0076,Insider,2,12.27,Insider tier - Access to exclusive content,True,2023-07-09 00:00:00,
ti_00175,cr_0077,Basic,1,4.05,Basic tier - Access to exclusive content,True,2022-04-15 00:00:00,
ti_00176,cr_0077,VIP,2,13.4,VIP tier - Access to exclusive content,True,2022-04-17 00:00:00,
ti_00177,cr_0077,Elite,3,23.76,Elite tier - Access to exclusive content,True,2022-04-14 00:00:00,
ti_00178,cr_0078,Basic,1,4.07,Basic tier - Access to exclusive content,True,2022-02-16 00:00:00,
ti_00179,cr_0078,Insider,2,11.95,Insider tier - Access to exclusive content,True,2022-02-16 00:00:00,
ti_00180,cr_0079,Viewer,1,2.38,Viewer tier - Access to exclusive content,True,2022-04-17 00:00:00,
ti_00181,cr_0079,VIP,2,10.48,VIP tier - Access to exclusive content,True,2022-04-11 00:00:00,
ti_00182,cr_0079,Pro,3,40.08,Pro tier - Access to exclusive content,True,2022-04-16 00:00:00,
ti_00183,cr_0080,Supporter,1,3.66,Supporter tier - Access to exclusive content,True,2022-12-08 00:00:00,
ti_00184,cr_0080,Premium,2,10.33,Premium tier - Access to exclusive content,True,2022-12-08 00:00:00,
ti_00185,cr_0081,Viewer,1,2.17,Viewer tier - Access to exclusive content,True,2023-03-08 00:00:00,
ti_00186,cr_0081,Insider,2,7.6,Insider tier - Access to exclusive content,True,2023-03-11 00:00:00,
ti_00187,cr_0082,Fan,1,4.96,Fan tier - Access to exclusive content,True,2022-07-13 00:00:00,
ti_00188,cr_0082,VIP,2,9.23,VIP tier - Access to exclusive content,True,2022-07-12 00:00:00,
ti_00189,cr_0083,Supporter,1,2.9,Supporter tier - Access to exclusive content,True,2022-10-11 00:00:00,
ti_00190,cr_0083,VIP,2,13.61,VIP tier - Access to exclusive content,True,2022-10-08 00:00:00,
ti_00191,cr_0084,Viewer,1,2.91,Viewer tier - Access to exclusive content,True,2023-07-09 00:00:00,
ti_00192,cr_0084,VIP,2,8.36,VIP tier - Access to exclusive content,True,2023-07-11 00:00:00,
ti_00193,cr_0085,Viewer,1,2.23,Viewer tier - Access to exclusive content,True,2022-03-18 00:00:00,
ti_00194,cr_0085,Premium,2,9.17,Premium tier - Access to exclusive content,True,2022-03-13 00:00:00,
ti_00195,cr_0085,Elite,3,44.88,Elite tier - Access to exclusive content,True,2022-03-15 00:00:00,
ti_00196,cr_0086,Viewer,1,2.47,Viewer tier - Access to exclusive content,True,2022-03-17 00:00:00,
ti_00197,cr_0086,VIP,2,13.24,VIP tier - Access to exclusive content,True,2022-03-17 00:00:00,
ti_00198,cr_0087,Viewer,1,2.01,Viewer tier - Access to exclusive content,True,2022-10-13 00:00:00,
ti_00199,cr_0087,Plus,2,14.0,Plus tier - Access to exclusive content,True,2022-10-14 00:00:00,
ti_00200,cr_0088,Basic,1,3.19,Basic tier - Access to exclusive content,True,2022-07-11 00:00:00,
ti_00201,cr_0088,Premium,2,9.26,Premium tier - Access to exclusive content,True,2022-07-10 00:00:00,
ti_00202,cr_0088,Gold,3,25.72,Gold tier - Access to exclusive content,True,2022-07-11 00:00:00,
ti_00203,cr_0089,Basic,1,4.33,Basic tier - Access to exclusive content,True,2023-01-07 00:00:00,
ti_00204,cr_0089,Insider,2,9.51,Insider tier - Access to exclusive content,True,2023-01-12 00:00:00,
ti_00205,cr_0090,Fan,1,4.97,Fan tier - Access to exclusive content,True,2022-08-12 00:00:00,
ti_00206,cr_0090,Plus,2,7.13,Plus tier - Access to exclusive content,True,2022-08-10 00:00:00,
ti_00207,cr_0090,Gold,3,34.13,Gold tier - Access to exclusive content,True,2022-08-15 00:00:00,
ti_00208,cr_0091,Viewer,1,4.06,Viewer tier - Access to exclusive content,True,2022-05-17 00:00:00,
ti_00209,cr_0091,VIP,2,7.94,VIP tier - Access to exclusive content,True,2022-05-12 00:00:00,
ti_00210,cr_0092,Basic,1,4.1,Basic tier - Access to exclusive content,True,2023-06-05 00:00:00,
ti_00211,cr_0092,VIP,2,11.11,VIP tier - Access to exclusive content,True,2023-06-09 00:00:00,
ti_00212,cr_0093,Supporter,1,4.45,Supporter tier - Access to exclusive content,True,2023-02-07 00:00:00,
ti_00213,cr_0093,VIP,2,12.89,VIP tier - Access to exclusive content,True,2023-02-06 00:00:00,
ti_00214,cr_0093,Pro,3,46.09,Pro tier - Access to exclusive content,True,2023-02-08 00:00:00,
ti_00215,cr_0094,Fan,1,4.8,Fan tier - Access to exclusive content,True,2023-04-08 00:00:00,
ti_00216,cr_0094,Premium,2,8.13,Premium tier - Access to exclusive content,True,2023-04-09 00:00:00,
ti_00217,cr_0094,Elite,3,24.96,Elite tier - Access to exclusive content,True,2023-04-09 00:00:00,
ti_00218,cr_0095,Viewer,1,3.22,Viewer tier - Access to exclusive content,True,2023-02-10 00:00:00,
ti_00219,cr_0095,Premium,2,11.83,Premium tier - Access to exclusive content,True,2023-02-11 00:00:00,
ti_00220,cr_0096,Supporter,1,2.43,Supporter tier - Access to exclusive content,True,2022-04-13 00:00:00,
ti_00221,cr_0096,VIP,2,14.51,VIP tier - Access to exclusive content,True,2022-04-13 00:00:00,
ti_00222,cr_0097,Fan,1,4.19,Fan tier - Access to exclusive content,True,2023-05-12 00:00:00,
ti_00223,cr_0097,VIP,2,9.7,VIP tier - Access to exclusive content,True,2023-05-06 00:00:00,
ti_00224,cr_0098,Fan,1,2.76,Fan tier - Access to exclusive content,True,2023-02-06 00:00:00,
ti_00225,cr_0098,Insider,2,11.18,Insider tier - Access to exclusive content,True,2023-02-10 00:00:00,
ti_00226,cr_0099,Supporter,1,3.87,Supporter tier - Access to exclusive content,True,2022-07-11 00:00:00,
ti_00227,cr_0099,VIP,2,7.43,VIP tier - Access to exclusive content,True,2022-07-14 00:00:00,
ti_00228,cr_0099,Champion,3,26.96,Champion tier - Access to exclusive content,True,2022-07-10 00:00:00,
ti_00229,cr_0100,Viewer,1,2.6,Viewer tier - Access to exclusive content,True,2022-04-12 00:00:00,
ti_00230,cr_0100,Insider,2,8.9,Insider tier - Access to exclusive content,True,2022-04-15 00:00:00,
ti_00231,cr_0101,Basic,1,3.83,Basic tier - Access to exclusive content,True,2022-05-12 00:00:00,
ti_00232,cr_0101,Plus,2,13.29,Plus tier - Access to exclusive content,True,2022-05-17 00:00:00,
ti_00233,cr_0101,Champion,3,20.19,Champion tier - Access to exclusive content,True,2022-05-11 00:00:00,
ti_00234,cr_0102,Supporter,1,3.85,Supporter tier - Access to exclusive content,True,2022-06-11 00:00:00,
ti_00235,cr_0102,Premium,2,11.1,Premium tier - Access to exclusive content,True,2022-06-16 00:00:00,
ti_00236,cr_0102,Pro,3,48.06,Pro tier - Access to exclusive content,True,2022-06-14 00:00:00,
ti_00237,cr_0103,Basic,1,3.43,Basic tier - Access to exclusive content,True,2022-07-14 00:00:00,
ti_00238,cr_0103,VIP,2,13.1,VIP tier - Access to exclusive content,True,2022-07-16 00:00:00,
ti_00239,cr_0103,Elite,3,39.4,Elite tier - Access to exclusive content,True,2022-07-13 00:00:00,
ti_00240,cr_0104,Viewer,1,3.4,Viewer tier - Access to exclusive content,True,2022-10-14 00:00:00,
ti_00241,cr_0104,VIP,2,7.99,VIP tier - Access to exclusive content,True,2022-10-11 00:00:00,
ti_00242,cr_0105,Fan,1,4.56,Fan tier - Access to exclusive content,True,2022-07-15 00:00:00,
ti_00243,cr_0105,VIP,2,14.97,VIP tier - Access to exclusive content,True,2022-07-12 00:00:00,
ti_00244,cr_0106,Viewer,1,2.65,Viewer tier - Access to exclusive content,True,2022-05-17 00:00:00,
ti_00245,cr_0106,Plus,2,10.73,Plus tier - Access to exclusive content,True,2022-05-16 00:00:00,
ti_00246,cr_0106,Champion,3,47.45,Champion tier - Access to exclusive content,True,2022-05-13 00:00:00,
ti_00247,cr_0107,Viewer,1,3.14,Viewer tier - Access to exclusive content,True,2023-03-08 00:00:00,
ti_00248,cr_0107,Insider,2,10.14,Insider tier - Access to exclusive content,True,2023-03-13 00:00:00,
ti_00249,cr_0108,Viewer,1,4.32,Viewer tier - Access to exclusive content,True,2023-03-08 00:00:00,
ti_00250,cr_0108,Plus,2,12.42,Plus tier - Access to exclusive content,True,2023-03-13 00:00:00,
ti_00251,cr_0109,Supporter,1,3.1,Supporter tier - Access to exclusive content,True,2022-09-12 00:00:00,
ti_00252,cr_0109,Insider,2,13.0,Insider tier - Access to exclusive content,True,2022-09-13 00:00:00,
ti_00253,cr_0109,Gold,3,22.63,Gold tier - Access to exclusive content,True,2022-09-10 00:00:00,
ti_00254,cr_0110,Fan,1,2.88,Fan tier - Access to exclusive content,True,2023-02-07 00:00:00,
ti_00255,cr_0110,VIP,2,9.35,VIP tier - Access to exclusive content,True,2023-02-07 00:00:00,
ti_00256,cr_0111,Supporter,1,3.79,Supporter tier - Access to exclusive content,True,2023-02-07 00:00:00,
ti_00257,cr_0111,VIP,2,8.54,VIP tier - Access to exclusive content,True,2023-02-06 00:00:00,
ti_00258,cr_0112,Viewer,1,3.8,Viewer tier - Access to exclusive content,True,2022-08-12 00:00:00,
ti_00259,cr_0112,Plus,2,9.8,Plus tier - Access to exclusive content,True,2022-08-11 00:00:00,
ti_00260,cr_0113,Supporter,1,3.37,Supporter tier - Access to exclusive content,True,2022-08-09 00:00:00,
